,name,lat,lon,type2,type,power_kW,duration,status,usecase,city,state
659,Shedd Aquarium-1MW lithium-ion battery,41.8676217,-87.61366159999999,Lithium-ion Battery,Electro-chemical,1000,n/a,Operational,Electric Bill Management,Chicago,IL
660,Walgreens - Green Charge Network,40.96518579999999,-73.8724129,Lithium-ion Battery,Electro-chemical,27,2.37,Operational,Electric Bill Management,Yonkers,NY
661,Pueblo Air Cooled Run Test Facility - Calmac,38.2821073,-104.5174477,Ice Thermal Storage,Thermal Storage,3517,4,Operational,Electric Bill Management,Pueblo,CO
662,Pueblo West Factory Building - Calmac,38.2821073,-104.5174477,Ice Thermal Storage,Thermal Storage,3517,4,Operational,Electric Energy Time Shift,Pueblo,CO
663,Wawona Frozen Foods,36.843832899999995,-119.71335,Electro-chemical,Electro-chemical,250,2,Operational,Electric Bill Management,Clovis,CA
664,Rocky Mountain Institute Innovation Center,39.3685167,-107.0385237,Electro-chemical,Electro-chemical,30,1.5,Operational,Electric Bill Management,Basalt,CO
665,AEP Gahanna NaS Battery Energy Storage System,40.0192307,-82.8793446,Sodium-sulfur Battery,Electro-chemical,2000,n/a,Operational,Electric Energy Time Shift,Gahanna,OH
666,Hartley Nature Center,46.8385574,-92.08297270000001,Electro-chemical,Electro-chemical,6,2.37,Operational,Microgrid Capability,Duluth,MN
667,Moakley Courthouse - Calmac,42.3541739,-71.0471618,Ice Thermal Storage,Thermal Storage,0,n/a,Operational,Electric Bill Management,Boston,MA
668,AltaGas Pomona Energy - SCE / Greensmith Energy,34.058935999999996,-117.7754029,Electro-chemical,Electro-chemical,20000,4,Operational,Electric Supply Capacity,Pomona,CA
669,Western Grid Development - SCE,34.35678,-119.05504499999999,Electro-chemical,Electro-chemical,5000,4,Operational,Electric Supply Capacity,Santa Paula,CA
670,San Diego Repertory - Stem,32.7145351,-117.16189109999999,Electro-chemical,Electro-chemical,36,4,Operational,Demand Response,San Diego,CA
671,Entergy 500 kW,30.0733718,-89.8628618,Electro-chemical,Electro-chemical,500,1,Operational,Onsite Renewable Generation Shifting,New Orleans,LA
672,OATI South Campus Microgrid,44.840798,-93.29827990000001,Electro-chemical,Electro-chemical,0,n/a,Operational,Demand Response,Bloomington,MN
673,NRECA/CRN - Distributed Energy Storage Research Project (Great River Energy),45.0954787,-93.43736700000001,Heat Thermal Storage,Thermal Storage,15,8,Operational,Frequency Regulation,Maple Grove,MN
674,Wholefood Signage System,38.647953,-121.12077040000001,Lithium-ion Battery,Electro-chemical,1,25,Operational,Microgrid Capability,Folsom,CA
675,Airbnb and kitHAUS Microgrid Pop Up House,34.2483769,-118.38601709999999,Lithium-ion Battery,Electro-chemical,5,1,Operational,Microgrid Capability,Sun Valley,CA
676,Net Zero Plus Electric Training Institute (NZP-ETI) - Solar Plus Storage,34.0005691,-118.1597929,Lithium-ion Battery,Electro-chemical,500,0.5,Operational,Black Start,City of Commerce,CA
677,Redding Electric Utilities (Phase 2) - Ice Energy ,40.5865396,-122.3916754,Ice Thermal Storage,Thermal Storage,6000,2,Under Construction,Electric Energy Time Shift,Redding,CA
678,University of St Thomas Renewable Energy Facility,44.9441221,-93.18971390000002,Lithium-ion Battery,Electro-chemical,250,8,Under Construction,Grid-Connected Commercial (Reliability & Quality) ,St. Paul,MN
679,Green Omni Terminal Demonstration Project,33.73800870000001,-118.26024620000001,Electro-chemical,Electro-chemical,2600,1,Under Construction,Electric Bill Management,Los Angeles,CA
680,Whole Foods Kailua- Hawaii ,21.402222199999997,-157.73944440000002,Electro-chemical,Electro-chemical,0,n/a,Under Construction,Electric Bill Management,Kailua,HI
681,Marengo Project,42.24863320000001,-88.60842690000001,Lithium-ion Battery,Electro-chemical,20000,0.25,Under Construction,Frequency Regulation,Marengo,IL
